seqnames,start,end,strand,gene_id,gene_name,gene_type,gene_name_orig
"chr21",30259602,30261594,"-","ENSG00000215005.2_4","HSPD1P7","processed_pseudogene","HSPD1P7"
"chr21",30274101,30276019,"-","ENSG00000215317.2_4","THUMPD1P1","processed_pseudogene","THUMPD1P1"
"chr21",30300466,30365277,"-","ENSG00000198862.13_4","LTN1","protein_coding","LTN1"
"chr21",30369934,30370354,"-","ENSG00000176054.6_2","RPL23P2","processed_pseudogene","RPL23P2"
"chr21",30376705,30391699,"-","ENSG00000156253.6_2","RWDD2B","protein_coding","RWDD2B"
"chr21",30396576,30397211,"-","ENSG00000273254.1_5","AF129075.2","antisense","AF129075.2"
"chr21",30396950,30426809,"+","ENSG00000156256.14_3","USP16","protein_coding","USP16"
"chr21",30428126,30446118,"-","ENSG00000156261.12_4","CCT8","protein_coding","CCT8"
"chr21",30430394,30432416,"-","ENSG00000231125.2_6","AF129075.1","sense_intronic","AF129075.1"
"chr21",30449792,30548210,"+","ENSG00000156265.15_2","MAP3K7CL","protein_coding","MAP3K7CL"
"chr21",30500022,30500509,"-","ENSG00000232687.1_4","RPL12P9","processed_pseudogene","RPL12P9"
"chr21",30511604,30511705,"-","ENSG00000201984.1","Y_RNA_4","misc_RNA","Y_RNA"
"chr21",30552747,30552960,"-","ENSG00000212479.1","U3","snoRNA","U3"
"chr21",30554348,30560116,"-","ENSG00000224649.1_5","AF124730.1","antisense","AF124730.1"
"chr21",30565801,30660526,"+","ENSG00000215533.8_3","LINC00189","sense_overlapping","LINC00189"
"chr21",30566392,31003071,"+","ENSG00000156273.15_5","BACH1","protein_coding","BACH1"
"chr21",30594642,30595578,"+","ENSG00000236056.1_2","GAPDHP14","processed_pseudogene","GAPDHP14"
"chr21",30723955,30734215,"+","ENSG00000248476.1_5","BACH1-IT1","sense_intronic","BACH1-IT1"
"chr21",30731323,30731774,"+","ENSG00000273017.1_6","AP000240.1","sense_intronic","AP000240.1"
"chr21",30742340,30748659,"-","ENSG00000232118.2_4","BACH1-AS1","lincRNA","BACH1-AS1"
"chr21",30742818,30746029,"+","ENSG00000228817.4_5","BACH1-IT2","lincRNA","BACH1-IT2"
"chr21",30761707,30761810,"-","ENSG00000239171.1","snoU13_3","snoRNA","snoU13"
"chr21",30868367,30872706,"+","ENSG00000234293.1_5","BACH1-IT3","sense_intronic","BACH1-IT3"
"chr21",30909254,31312351,"-","ENSG00000171189.17_4","GRIK1","protein_coding","GRIK1"
"chr21",30968360,31003067,"+","ENSG00000183653.4","GRIK1-AS2","protein_coding","GRIK1-AS2"
"chr21",31029726,31030151,"+","ENSG00000273464.1_5","AP000238.1","antisense","AP000238.1"
"chr21",31120494,31136321,"+","ENSG00000174680.9_5","GRIK1-AS1","antisense","GRIK1-AS1"
"chr21",31462035,31470154,"+","ENSG00000259981.1_2","AF096876.1","lincRNA","AF096876.1"
"chr21",31537882,31539074,"-","ENSG00000156282.4_2","CLDN17","protein_coding","CLDN17"
"chr21",31581469,31584101,"-","ENSG00000227342.1_4","LINC00307","lincRNA","LINC00307"
"chr21",31586324,31588391,"-","ENSG00000156284.5_2","CLDN8","protein_coding","CLDN8"
"chr21",31635698,31636199,"-","ENSG00000225267.1_2","RPL8P2","processed_pseudogene","RPL8P2"
"chr21",31653627,31655276,"-","ENSG00000188694.5_2","KRTAP24-1","protein_coding","KRTAP24-1"
"chr21",31661463,31661832,"-","ENSG00000232263.1_2","KRTAP25-1","protein_coding","KRTAP25-1"
"chr21",31691442,31692634,"-","ENSG00000197683.4_2","KRTAP26-1","protein_coding","KRTAP26-1"
"chr21",31709331,31710012,"-","ENSG00000206107.2_2","KRTAP27-1","protein_coding","KRTAP27-1"
"chr21",31720717,31720927,"-","ENSG00000186980.6_2","KRTAP23-1","protein_coding","KRTAP23-1"
"chr21",31728833,31729203,"-","ENSG00000250973.1_4","KRTAP13-6P","unprocessed_pseudogene","KRTAP13-6P"
"chr21",31743709,31744575,"-","ENSG00000182816.8_3","KRTAP13-2","protein_coding","KRTAP13-2"
"chr21",31747612,31747696,"-","ENSG00000265007.1","MIR4327","miRNA","MIR4327"
"chr21",31768392,31769140,"+","ENSG00000198390.4_2","KRTAP13-1","protein_coding","KRTAP13-1"
"chr21",31797583,31798286,"-","ENSG00000240432.3_2","KRTAP13-3","protein_coding","KRTAP13-3"
"chr21",31802548,31803344,"+","ENSG00000186971.3_2","KRTAP13-4","protein_coding","KRTAP13-4"
"chr21",31808784,31809282,"-","ENSG00000233640.2_4","KRTAP13-5P","unprocessed_pseudogene","KRTAP13-5P"
"chr21",31812593,31813263,"+","ENSG00000186970.4_2","KRTAP15-1","protein_coding","KRTAP15-1"
"chr21",31852018,31852663,"-","ENSG00000184351.7_2","KRTAP19-1","protein_coding","KRTAP19-1"
"chr21",31859376,31859755,"-","ENSG00000186965.4_2","KRTAP19-2","protein_coding","KRTAP19-2"
"chr21",31863782,31864303,"-","ENSG00000244025.4_3","KRTAP19-3","protein_coding","KRTAP19-3"
"chr21",31869142,31869451,"-","ENSG00000186967.6_2","KRTAP19-4","protein_coding","KRTAP19-4"
"chr21",31873975,31874435,"-","ENSG00000186977.2_2","KRTAP19-5","protein_coding","KRTAP19-5"
"chr21",31882625,31882815,"-","ENSG00000237841.1_4","KRTAP19-9P","unprocessed_pseudogene","KRTAP19-9P"
"chr21",31886931,31887117,"-","ENSG00000235312.1_4","KRTAP19-10P","unprocessed_pseudogene","KRTAP19-10P"
"chr21",31898864,31899019,"-","ENSG00000218125.1_5","AP000567.1","unprocessed_pseudogene","AP000567.1"
"chr21",31909597,31909700,"-","ENSG00000236612.1_4","KRTAP19-11P","unprocessed_pseudogene","KRTAP19-11P"
"chr21",31913854,31914183,"-","ENSG00000186925.6_2","KRTAP19-6","protein_coding","KRTAP19-6"
"chr21",31933194,31933633,"-","ENSG00000244362.3_2","KRTAP19-7","protein_coding","KRTAP19-7"
"chr21",31962424,31962716,"-","ENSG00000206106.2_2","KRTAP22-2","protein_coding","KRTAP22-2"
"chr21",31964759,31965394,"+","ENSG00000212938.3_2","KRTAP6-3","protein_coding","KRTAP6-3"
"chr21",31964786,31965076,"+","ENSG00000256818.1","AP001069.1","pseudogene","AP001069.1"
"chr21",31970909,31971221,"-","ENSG00000186930.4_2","KRTAP6-2","protein_coding","KRTAP6-2"
"chr21",31973406,31973701,"+","ENSG00000186924.3_2","KRTAP22-1","protein_coding","KRTAP22-1"
"chr21",31985750,31986249,"-","ENSG00000184724.5_2","KRTAP6-1","protein_coding","KRTAP6-1"
"chr21",31988744,31989018,"+","ENSG00000244624.3_2","KRTAP20-1","protein_coding","KRTAP20-1"
"chr21",31992946,31993169,"+","ENSG00000206105.2_2","KRTAP20-4","protein_coding","KRTAP20-4"
"chr21",32007555,32007938,"+","ENSG00000184032.2_2","KRTAP20-2","protein_coding","KRTAP20-2"
"chr21",32015183,32015455,"+","ENSG00000206104.2_2","KRTAP20-3","protein_coding","KRTAP20-3"
"chr21",32090843,32091095,"-","ENSG00000231068.1_2","KRTAP21-3","protein_coding","KRTAP21-3"
"chr21",32114098,32114913,"-","ENSG00000236400.1_4","KRTAP21-4P","unprocessed_pseudogene","KRTAP21-4P"
"chr21",32119112,32119551,"-","ENSG00000187026.2_2","KRTAP21-2","protein_coding","KRTAP21-2"
"chr21",32127148,32127746,"-","ENSG00000187005.4_2","KRTAP21-1","protein_coding","KRTAP21-1"
"chr21",32135000,32135200,"-","ENSG00000238257.1_5","AP000244.1","unprocessed_pseudogene","AP000244.1"
"chr21",32174560,32174745,"-","ENSG00000233036.1_4","KRTAP8-2P","unprocessed_pseudogene","KRTAP8-2P"
"chr21",32179250,32179437,"-","ENSG00000227840.1_4","KRTAP8-3P","unprocessed_pseudogene","KRTAP8-3P"
"chr21",32185015,32185570,"-","ENSG00000183640.5_2","KRTAP8-1","protein_coding","KRTAP8-1"
"chr21",32201357,32202078,"-","ENSG00000274749.1_2","KRTAP7-1","protein_coding","KRTAP7-1"
"chr21",32201362,32202051,"-","ENSG00000256386.1","AP000244.1_2","pseudogene","AP000244.1"
"chr21",32252963,32253874,"-","ENSG00000182591.5_2","KRTAP11-1","protein_coding","KRTAP11-1"
"chr21",32410478,32410795,"-","ENSG00000206102.2_2","KRTAP19-8","protein_coding","KRTAP19-8"
"chr21",32432919,32435487,"-","ENSG00000228941.1_2","UBE3AP2","processed_pseudogene","UBE3AP2"
"chr21",32490734,32932290,"-","ENSG00000156299.13_3","TIAM1","protein_coding","TIAM1"
"chr21",32824779,32825536,"+","ENSG00000237325.3_5","AP000563.1","processed_pseudogene","AP000563.1"
"chr21",32931558,32932800,"+","ENSG00000237594.2_5","AP000251.1","lincRNA","AP000251.1"
"chr21",32999440,33000913,"-","ENSG00000230870.2_2","FBXW11P1","processed_pseudogene","FBXW11P1"
"chr21",33025906,33031813,"-","ENSG00000234509.1_2","AP000253.1","lincRNA","AP000253.1"
"chr21",33031935,33041244,"+","ENSG00000142168.14_2","SOD1","protein_coding","SOD1"
"chr21",33036619,33036795,"+","ENSG00000238390.1","SNORA81","snoRNA","SNORA81"
"chr21",33039041,33039560,"-","ENSG00000273271.1_5","AP000254.1","antisense","AP000254.1"
"chr21",33043346,33104388,"-","ENSG00000156304.14_3","SCAF4","protein_coding","SCAF4"
"chr21",33078868,33079177,"+","ENSG00000229046.1_4","HMGN1P2","processed_pseudogene","HMGN1P2"
"chr21",33108045,33108720,"+","ENSG00000273091.1_5","AP000255.1","lincRNA","AP000255.1"
"chr21",33212653,33213170,"+","ENSG00000234107.1_4","TPT1P1","processed_pseudogene","TPT1P1"
"chr21",33245628,33416946,"+","ENSG00000142149.8_3","HUNK","protein_coding","HUNK"
"chr21",33393279,33394095,"-","ENSG00000237138.1_5","HUNK-AS1","antisense","HUNK-AS1"
"chr21",33452629,33570125,"-","ENSG00000230323.5_4","LINC00159","lincRNA","LINC00159"
"chr21",33524217,33524320,"+","ENSG00000264055.1","AP000261.1","miRNA","AP000261.1"
"chr21",33632115,33633896,"-","ENSG00000261610.1_2","AP000265.1","lincRNA","AP000265.1"
"chr21",33640530,33651380,"-","ENSG00000159055.3_2","MIS18A","protein_coding","MIS18A"
"chr21",33650174,33653299,"+","ENSG00000227256.1_5","MIS18A-AS1","antisense","MIS18A-AS1"
"chr21",33664124,33687095,"+","ENSG00000170262.12_3","MRAP","protein_coding","MRAP"
"chr21",33678775,33681048,"-","ENSG00000232623.1_5","AP000266.1","antisense","AP000266.1"
"chr21",33683329,33765335,"-","ENSG00000142207.6_2","URB1","protein_coding","URB1"
"chr21",33714826,33715062,"-","ENSG00000242871.2","RN7SL109P","misc_RNA","RN7SL109P"
"chr21",33749496,33749631,"-","ENSG00000200792.1","SNORA80","snoRNA","SNORA80"
"chr21",33765439,33766269,"+","ENSG00000256073.3_4","URB1-AS1","lincRNA","URB1-AS1"
"chr21",33784314,33887707,"+","ENSG00000166979.12_3","EVA1C","protein_coding","EVA1C"
"chr21",33869122,33869621,"+","ENSG00000229007.1_4","EXOSC3P1","processed_pseudogene","EXOSC3P1"
"chr21",33910609,33910744,"+","ENSG00000252045.1","SNORA33","snoRNA","SNORA33"
"chr21",33935385,33935520,"+","ENSG00000252950.1","RNA5SP490","rRNA","RNA5SP490"
"chr21",33944548,33948191,"-","ENSG00000186842.4_5","LINC00846","3prime_overlapping_ncRNA","LINC00846"
"chr21",33947151,33959683,"-","ENSG00000242220.6_5","TCP10L","protein_coding","TCP10L"
"chr21",33951132,33984591,"-","ENSG00000265590.9_6","AP000275.2","protein_coding","AP000275.2"
"chr21",33964389,33985176,"-","ENSG00000159079.18_5","CFAP298","protein_coding","CFAP298"
"chr21",33993394,33994393,"+","ENSG00000228433.2_3","OR7E23P","unprocessed_pseudogene","OR7E23P"
"chr21",33996726,33997406,"-","ENSG00000238220.1_5","AP000275.1","processed_pseudogene","AP000275.1"
"chr21",34001069,34100359,"-","ENSG00000159082.17_3","SYNJ1","protein_coding","SYNJ1"
"chr21",34100426,34115433,"+","ENSG00000238197.5_6","PAXBP1-AS1","antisense","PAXBP1-AS1"
"chr21",34106210,34144169,"-","ENSG00000159086.14_2","PAXBP1","protein_coding","PAXBP1"
"chr21",34144411,34266043,"+","ENSG00000205930.8_6","C21orf62-AS1","antisense","C21orf62-AS1"
"chr21",34162984,34163815,"-","ENSG00000279690.1_5","AP000280.1","TEC","AP000280.1"
"chr21",34165875,34186053,"-","ENSG00000205929.10_3","C21orf62","protein_coding","C21orf62"
"chr21",34213806,34214121,"-","ENSG00000224427.1_2","AP000281.1","processed_pseudogene","AP000281.1"
"chr21",34214171,34214305,"-","ENSG00000207098.1","SNORA70_2","snoRNA","SNORA70"
"chr21",34216677,34222244,"-","ENSG00000232360.1_4","AP000281.2","antisense","AP000281.2"
"chr21",34285957,34443410,"-","ENSG00000227757.3_5","AP000282.1","antisense","AP000282.1"
"chr21",34331196,34332874,"+","ENSG00000228961.1_5","LINC01690","lincRNA","LINC01690"
"chr21",34398153,34401504,"+","ENSG00000205927.4_3","OLIG2","protein_coding","OLIG2"
"chr21",34430135,34437289,"+","ENSG00000232539.1_4","LINC00945","lincRNA","LINC00945"
"chr21",34442450,34444726,"+","ENSG00000184221.12_4","OLIG1","protein_coding","OLIG1"
"chr21",34484005,34496009,"-","ENSG00000226527.1_5","AP000289.1","lincRNA","AP000289.1"
"chr21",34528938,34531416,"+","ENSG00000226433.1_5","AP000290.1","antisense","AP000290.1"
"chr21",34537776,34542954,"-","ENSG00000229086.4_5","LINC01548","lincRNA","LINC01548"
"chr21",34602206,34637980,"+","ENSG00000159110.19_3","IFNAR2","protein_coding","IFNAR2"
"chr21",34602206,34669465,"+","ENSG00000249624.9_6","AP000295.1","protein_coding","AP000295.1"
"chr21",34636178,34638565,"-","ENSG00000223799.1_5","IL10RB-DT","antisense","IL10RB-DT"
"chr21",34638663,34682492,"+","ENSG00000243646.9_3","IL10RB","protein_coding","IL10RB"
"chr21",34696782,34732168,"+","ENSG00000142166.12_3","IFNAR1","protein_coding","IFNAR1"
"chr21",34706877,34707402,"+","ENSG00000226501.2_4","USF1P1","processed_pseudogene","USF1P1"
"chr21",34775202,34851655,"+","ENSG00000159128.14_3","IFNGR2","protein_coding","IFNGR2"
"chr21",34804792,34852318,"-","ENSG00000142188.16_3","TMEM50B","protein_coding","TMEM50B"
"chr21",34836773,34836865,"+","ENSG00000266892.1","AP000301.1","miRNA","AP000301.1"
"chr21",34853887,34854502,"-","ENSG00000215088.3_4","RPS5P3","processed_pseudogene","RPS5P3"
"chr21",34854806,34856565,"-","ENSG00000231355.1_5","AP000302.1","antisense","AP000302.1"
"chr21",34857837,34864027,"-","ENSG00000177692.11_2","DNAJC28","protein_coding","DNAJC28"
"chr21",34876238,34915797,"-","ENSG00000159131.16_4","GART","protein_coding","GART"
"chr21",34890917,34891415,"-","ENSG00000233956.1_4","BTF3P6","processed_pseudogene","BTF3P6"
"chr21",34914924,34949787,"+","ENSG00000159140.19_5","SON","protein_coding","SON"
"chr21",34931848,34961014,"-","ENSG00000159147.17_5","DONSON","protein_coding","DONSON"
"chr21",34947431,34947645,"-","ENSG00000268265.1","AP000304.1","protein_coding","AP000304.1"
"chr21",34956993,35303911,"-","ENSG00000249209.2_6","AP000311.1","protein_coding","AP000311.1"
"chr21",34961647,35016232,"-","ENSG00000205758.11_4","CRYZL1","protein_coding","CRYZL1"
"chr21",35014706,35272165,"+","ENSG00000205726.14_4","ITSN1","protein_coding","ITSN1"
"chr21",35275757,35288284,"-","ENSG00000241837.6_4","ATP5PO","protein_coding","ATP5PO"
"chr21",35287838,35349992,"+","ENSG00000237945.7_4","LINC00649","antisense","LINC00649"
"chr21",35291350,35291642,"-","ENSG00000244294.2","RN7SL740P","misc_RNA","RN7SL740P"
"chr21",35339403,35340874,"-","ENSG00000273102.1_5","AP000569.1","lincRNA","AP000569.1"
"chr21",35445524,35515334,"+","ENSG00000243927.5_3","MRPS6","protein_coding","MRPS6"
"chr21",35445870,35478561,"+","ENSG00000198743.6_3","SLC5A3","protein_coding","SLC5A3"
"chr21",35445892,35732332,"+","ENSG00000272657.1_6","AP000317.2","processed_transcript","AP000317.2"
"chr21",35507732,35508371,"-","ENSG00000224598.1_2","RPS5P2","processed_pseudogene","RPS5P2"
"chr21",35530024,35562545,"+","ENSG00000227456.7_4","LINC00310","lincRNA","LINC00310"
"chr21",35577356,35697334,"+","ENSG00000214955.5_6","AP000317.1","lincRNA","AP000317.1"
"chr21",35677430,35677493,"+","ENSG00000266007.1","AP000318.1","miRNA","AP000318.1"
"chr21",35736323,35743688,"+","ENSG00000159197.3_2","KCNE2","protein_coding","KCNE2"
"chr21",35743101,35747647,"-","ENSG00000225555.1_5","AP000320.1","antisense","AP000320.1"
"chr21",35747779,35780164,"+","ENSG00000205670.10_3","SMIM11A","protein_coding","SMIM11A"
"chr21",35747790,35780163,"+","ENSG00000273590.4_3","SMIM11B","protein_coding","SMIM11B"
"chr21",35771706,35773413,"-","ENSG00000277277.3_5","FAM243B","protein_coding","FAM243B"
"chr21",35772615,35773370,"-","ENSG00000222018.1_3","FAM243A","protein_coding","FAM243A"
"chr21",35784498,35784885,"+","ENSG00000273104.1_5","AP000322.2","lincRNA","AP000322.2"
"chr21",35786792,35796264,"-","ENSG00000278961.2_6","SMIM34B","protein_coding","SMIM34B"
"chr21",35791013,35796264,"-","ENSG00000243627.4_5","SMIM34A","protein_coding","SMIM34A"
"chr21",35797806,35798315,"+","ENSG00000272958.1_5","AP000322.1","lincRNA","AP000322.1"
"chr21",35818986,35832236,"-","ENSG00000276289.4_3","KCNE1B","protein_coding","KCNE1B"
"chr21",35818986,35884573,"-","ENSG00000180509.11_4","KCNE1","protein_coding","KCNE1"
"chr21",35828408,35828535,"-","ENSG00000221398.1","SNORA11","snoRNA","SNORA11"
"chr21",35885440,35987441,"-","ENSG00000159200.17_2","RCAN1","protein_coding","RCAN1"
"chr21",36041688,36090525,"+","ENSG00000159212.12_2","CLIC6","protein_coding","CLIC6"
"chr21",36096105,36109478,"-","ENSG00000230978.1_4","LINC00160","lincRNA","LINC00160"
"chr21",36118054,36157183,"+","ENSG00000234380.1_5","LINC01426","antisense","LINC01426"
"chr21",36160098,37376965,"-","ENSG00000159216.18_4","RUNX1","protein_coding","RUNX1"
"chr21",36508935,36511519,"+","ENSG00000234703.1_5","AF015262.1","lincRNA","AF015262.1"
"chr21",36844393,36844730,"-","ENSG00000223671.2_2","RPL34P3","processed_pseudogene","RPL34P3"
"chr21",36972030,36972320,"-","ENSG00000231300.1_4","EZH2P1","processed_pseudogene","EZH2P1"
"chr21",37085437,37105240,"-","ENSG00000230794.1_6","AF015720.1","lincRNA","AF015720.1"
"chr21",37093013,37093106,"+","ENSG00000211590.1","MIR802","miRNA","MIR802"
"chr21",37097045,37097398,"-","ENSG00000229761.1_2","RPS20P1","processed_pseudogene","RPS20P1"
"chr21",37259493,37260105,"+","ENSG00000234008.5_2","PPP1R2P2","processed_pseudogene","PPP1R2P2"
"chr21",37270353,37270727,"-","ENSG00000267812.1","FKSG68","protein_coding","FKSG68"
"chr21",37377636,37380136,"+","ENSG00000231106.2_4","LINC01436","lincRNA","LINC01436"
"chr21",37388377,37388844,"-","ENSG00000214914.3_2","RPL23AP3","processed_pseudogene","RPL23AP3"
"chr21",37402368,37417818,"+","ENSG00000268098.1","AP000688.1","protein_coding","AP000688.1"
"chr21",37406839,37451687,"-","ENSG00000185917.13_4","SETD4","protein_coding","SETD4"
"chr21",37422512,37423675,"+","ENSG00000189089.5_4","RIMKLBP1","processed_pseudogene","RIMKLBP1"
"chr21",37432730,37436706,"+","ENSG00000236677.1_5","AP000688.4","antisense","AP000688.4"
"chr21",37438843,37438950,"+","ENSG00000200213.1","RNU6-992P","snRNA","RNU6-992P"
"chr21",37441940,37498938,"-","ENSG00000230212.6_6","AP000688.1_2","sense_intronic","AP000688.1"
"chr21",37442239,37445464,"+","ENSG00000159228.12_2","CBR1","protein_coding","CBR1"
"chr21",37455157,37462712,"+","ENSG00000236119.1_5","AP000688.3","lincRNA","AP000688.3"
"chr21",37477179,37481988,"+","ENSG00000233393.1_5","AP000688.2","lincRNA","AP000688.2"
"chr21",37502787,37503674,"+","ENSG00000226054.2_4","MEMO1P1","processed_pseudogene","MEMO1P1"
"chr21",37504065,37548113,"-","ENSG00000236830.6_4","CBR3-AS1","processed_transcript","CBR3-AS1"
"chr21",37504748,37505330,"+","ENSG00000214889.3_2","RPS9P1","processed_pseudogene","RPS9P1"
"chr21",37507210,37518864,"+","ENSG00000159231.5_2","CBR3","protein_coding","CBR3"
"chr21",37529080,37666572,"+","ENSG00000142197.12_4","DOP1B","protein_coding","DOP1B"
"chr21",37541268,37542478,"-","ENSG00000228149.1_2","RPL3P1","processed_pseudogene","RPL3P1"
"chr21",37585858,37586136,"-","ENSG00000265882.1","RN7SL73P","misc_RNA","RN7SL73P"
"chr21",37630724,37630829,"-","ENSG00000238851.1","snoU13_4","snoRNA","snoU13"
"chr21",37667471,37668000,"-","ENSG00000214867.3_4","SRSF9P1","processed_pseudogene","SRSF9P1"
"chr21",37692090,37692968,"-","ENSG00000273199.1_5","AP000692.2","antisense","AP000692.2"
"chr21",37692487,37758446,"+","ENSG00000159256.12_4","MORC3","protein_coding","MORC3"
"chr21",37732928,37734338,"+","ENSG00000228107.1_6","AP000692.1","sense_overlapping","AP000692.1"
"chr21",37757676,37791313,"+","ENSG00000159259.7_3","CHAF1B","protein_coding","CHAF1B"
"chr21",37761176,37761410,"-","ENSG00000224421.1_3","ATP5MFP1","processed_pseudogene","ATP5MFP1"
"chr21",37802658,37853368,"+","ENSG00000230479.1_6","AP000695.1","antisense","AP000695.1"
"chr21",37818029,37904706,"+","ENSG00000233818.1_6","AP000695.2","antisense","AP000695.2"
"chr21",37832919,37948867,"-","ENSG00000159261.10_4","CLDN14","protein_coding","CLDN14"
"chr21",37858165,37860058,"+","ENSG00000267976.1","AP000695.1_2","protein_coding","AP000695.1"
"chr21",37858165,37860058,"+","ENSG00000279365.1_6","AP000695.3","TEC","AP000695.3"
"chr21",37858281,37859709,"-","ENSG00000223741.1_4","PSMD4P1","processed_pseudogene","PSMD4P1"
"chr21",38004979,38009331,"-","ENSG00000231324.1_5","AP000696.1","lincRNA","AP000696.1"
"chr21",38071073,38073864,"-","ENSG00000224269.1_5","AP000697.1","antisense","AP000697.1"
"chr21",38071433,38122218,"+","ENSG00000159263.15_2","SIM2","protein_coding","SIM2"
"chr21",38123189,38362536,"-","ENSG00000159267.14_3","HLCS","protein_coding","HLCS"
"chr21",38176285,38178585,"-","ENSG00000237646.1_5","HLCS-IT1","sense_intronic","HLCS-IT1"
"chr21",38224211,38224328,"+","ENSG00000199806.1","RNA5SP491","rRNA","RNA5SP491"
"chr21",38315567,38316425,"+","ENSG00000270652.1_2","DPRXP5","processed_pseudogene","DPRXP5"
"chr21",38338792,38347464,"+","ENSG00000224790.2_6","AP000704.1","lincRNA","AP000704.1"
"chr21",38359039,38359151,"-","ENSG00000207416.1","Y_RNA_5","misc_RNA","Y_RNA"
"chr21",38366943,38367375,"+","ENSG00000215734.3_2","MRPL20P1","processed_pseudogene","MRPL20P1"
"chr21",38378450,38391959,"+","ENSG00000183145.8_2","RIPPLY3","protein_coding","RIPPLY3"
"chr21",38417830,38417936,"+","ENSG00000212136.1","RNU6-696P","snRNA","RNU6-696P"
"chr21",38431470,38445470,"-","ENSG00000185808.13_2","PIGP","protein_coding","PIGP"
"chr21",38445526,38575413,"+","ENSG00000182670.13_3","TTC3","protein_coding","TTC3"
"chr21",38473114,38473643,"+","ENSG00000270116.1_3","AP001429.1","sense_intronic","AP001429.1"
"chr21",38559967,38566227,"-","ENSG00000228677.1_5","TTC3-AS1","antisense","TTC3-AS1"
"chr21",38580804,38594037,"+","ENSG00000230366.9_3","DSCR9","lincRNA","DSCR9"
"chr21",38587906,38588202,"+","ENSG00000263969.1","RN7SL678P","misc_RNA","RN7SL678P"
"chr21",38593720,38610045,"+","ENSG00000242553.1_6","AP001432.1","lincRNA","AP001432.1"
"chr21",38595721,38640220,"-","ENSG00000157538.13_3","VPS26C","protein_coding","VPS26C"
"chr21",38640085,38640798,"+","ENSG00000272948.2_4","AP001412.1","antisense","AP001412.1"
"chr21",38737779,38738234,"-","ENSG00000273210.1_4","AP001437.1","antisense","AP001437.1"
"chr21",38737875,38898660,"+","ENSG00000157540.20_4","DYRK1A","protein_coding","DYRK1A"
"chr21",38888740,38888973,"+","ENSG00000267937.1","AP001421.1","protein_coding","AP001421.1"
"chr21",38979678,39493439,"-","ENSG00000157542.10_4","KCNJ6","protein_coding","KCNJ6"
"chr21",39089405,39091872,"-","ENSG00000233213.1_5","KCNJ6-AS1","sense_intronic","KCNJ6-AS1"
"chr21",39323728,39493454,"-","ENSG00000184029.9_4","DSCR4","lincRNA","DSCR4"
"chr21",39334968,39335068,"+","ENSG00000264691.1","AP001427.1","miRNA","AP001427.1"
"chr21",39378846,39382920,"-","ENSG00000223608.1_5","DSCR4-IT1","sense_intronic","DSCR4-IT1"
"chr21",39493545,39528605,"+","ENSG00000198054.12_4","DSCR8","lincRNA","DSCR8"
"chr21",39527643,39679279,"+","ENSG00000157551.18_5","KCNJ15","protein_coding","KCNJ15"
"chr21",39559551,39559656,"-","ENSG00000238581.1","snoU13_5","snoRNA","snoU13"
"chr21",39576235,39578174,"-","ENSG00000270835.2_5","AP001425.1","transcribed_processed_pseudogene","AP001425.1"
"chr21",39578250,39580738,"+","ENSG00000233316.4_3","DSCR10","sense_intronic","DSCR10"
"chr21",39609139,39610123,"-","ENSG00000226012.1_5","AP001434.1","lincRNA","AP001434.1"
"chr21",39610149,39610586,"-","ENSG00000231123.1_4","SPATA20P1","processed_pseudogene","SPATA20P1"
"chr21",39695557,39705343,"-","ENSG00000231231.5_4","LINC01423","lincRNA","LINC01423"
"chr21",39751949,40033704,"-","ENSG00000157554.18_3","ERG","protein_coding","ERG"
"chr21",39874369,39874545,"+","ENSG00000231480.1_4","SNRPGP13","processed_pseudogene","SNRPGP13"
"chr21",40110945,40119384,"-","ENSG00000223806.7_4","LINC00114","lincRNA","LINC00114"
"chr21",40177231,40196879,"+","ENSG00000157557.11_3","ETS2","protein_coding","ETS2"
"chr21",40218171,40220568,"+","ENSG00000229986.1_2","AP001042.1","lincRNA","AP001042.1"
"chr21",40235600,40328392,"-","ENSG00000205622.9_6","AP001043.1","lincRNA","AP001043.1"
"chr21",40260696,40275829,"+","ENSG00000229925.1_6","AP001043.2","lincRNA","AP001043.2"
"chr21",40266709,40266791,"+","ENSG00000272015.1","SNORA62","snoRNA","SNORA62"
"chr21",40266841,40267176,"+","ENSG00000227721.1_4","RPSAP64","processed_pseudogene","RPSAP64"
"chr21",40346355,40349700,"-","ENSG00000232837.1_4","LINC01700","lincRNA","LINC01700"
"chr21",40360633,40378079,"-","ENSG00000235888.1_5","AF064858.1","lincRNA","AF064858.1"
"chr21",40378574,40383255,"-","ENSG00000237721.1_5","AF064858.3","lincRNA","AF064858.3"
"chr21",40400461,40401053,"-","ENSG00000237609.1_5","AF064858.2","lincRNA","AF064858.2"
"chr21",40499494,40499966,"+","ENSG00000228861.5_4","RPL23AP12","processed_pseudogene","RPL23AP12"
"chr21",40543056,40544032,"-","ENSG00000235701.1_2","PCBP2P1","processed_pseudogene","PCBP2P1"
"chr21",40546695,40555777,"-","ENSG00000183527.11_2","PSMG1","protein_coding","PSMG1"
"chr21",40556102,40693485,"-","ENSG00000185658.13_4","BRWD1","protein_coding","BRWD1"
"chr21",40556395,40556825,"+","ENSG00000272991.1_5","AF129408.1","antisense","AF129408.1"
"chr21",40588550,40589432,"+","ENSG00000232608.1_4","TIMM9P2","processed_pseudogene","TIMM9P2"
