HG2412_PATCH	NW_019805502.1
GL383542.1	NW_003315931.1
HSCHR12_8_CTG2_1	chr12_KZ208918v1_alt
HG2232_PATCH	chr2_KN538363v1_fix
GL000141.2	NT_011387.9
HSCHR4_11_CTG12	NW_015495301.1
GL383555.2	NW_003315944.2
HG708_PATCH	NW_018654714.1
KI270718.1	NT_187373.1
KI270337.1	chrUn_KI270337v1
HG2571_PATCH	MU273334.1
KI270909.1	NT_187661.1
KI270759.1	NT_187516.1
KI270699.1	NT_187354.1
KI270910.1	NT_187664.1
KQ090016.1	NW_013171802.1
KI270877.1	chr22_KI270877v1_alt
KI270875.1	chr22_KI270875v1_alt
NT_187601.1	chr14_KI270847v1_alt
NT_187394.1	chr22_KI270739v1_random
KI270425.1	NT_187418.1
HG2046_PATCH	NW_016107299.1
HSCHR6_1_CTG5	chr6_KI270798v1_alt
HSCHR19KIR_FH08_A_HAP_CTG3_1	NT_187683.1
HSCHR2_2_CTG1	KI270770.1
HG1535_PATCH	NW_018654726.1
NW_021160030.1	chrX_ML143384v1_fix
KI270466.1	NT_187421.1
NT_187532.1	chr3_KI270779v1_alt
HSCHR3_3_CTG3	NT_187649.1
KI270507.1	chrUn_KI270507v1
KN196487.1	NW_009646209.1
HSCHR7_2_CTG7	NT_187563.1
HSCHR16_5_CTG1	chr16_KQ090026v1_alt
NT_187511.1	chrUn_KI270756v1
KI270839.1	chr13_KI270839v1_alt
HG2442_PATCH	NW_018654724.1
HSCHR6_1_CTG10	chr6_KQ090017v1_alt
ML143368.1	NW_021160014.1
HG2290_PATCH	NW_012132915.1
GL000029.2	NT_005403.18
ML143365.1	chr13_ML143365v1_fix
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	KI270923.1
KI270384.1	NT_187484.1
HG2476_PATCH	NW_025791776.1
GJ212118.2	NT_187321.1
NT_187388.1	chr22_KI270733v1_random
HSCHR7_1_CTG7	NT_187560.1
HG926_PATCH	chr16_KV880768v1_fix
KV575258.1	NW_016107312.1
NW_015148969.2	chr22_KQ759762v2_fix
HSCHR6_1_CTG6	chr6_KI270799v1_alt
GJ212002.2	NT_187246.1
GJ211871.1	KI270332.1
HSCHR1_12_CTG3	NW_025791753.1
KI270435.1	NT_187424.1
HSCHR15_2_CTG8	chr15_GL383555v2_alt
MU273332.1	NW_025791755.1
HSCHR16_4_CTG3_1	NW_013171813.1
HSCHR6_MHC_SSTO_CTG1	chr6_GL000256v2_alt
ML143380.1	NW_021160026.1
HSCHR12_6_CTG2_1	chr12_KI270834v1_alt
KQ090015.1	chr4_KQ090015v1_alt
CM000672.2	chr10
HG2088_PATCH	chr7_KV880764v1_fix
NW_003871091.1	chr17_JH159146v1_alt
GL383579.2	HSCHR21_2_CTG1_1
HSCHR11_1_CTG1_2	chr11_KN538368v1_alt
KI270578.1	NT_187292.1
NW_025791819.1	chrX_MU273396v1_alt
KI270933.1	NT_187687.1
HSCHR14_1_CTG1	KI270844.1
GL383530.1	HSCHR5_3_CTG1_1
ML143344.1	chr4_ML143344v1_fix
HG2060_PATCH	chr11_KZ559108v1_fix
GL383581.2	chr21_GL383581v2_alt
GL000213.1	NT_167208.1
KV880765.1	NW_017852930.1
KI270675.1	NT_187346.1
HSCHR1_2_CTG3	KI270766.1
GL000180.2	NT_167205.2
NW_003315928.1	chr9_GL383539v1_alt
NT_187470.1	chrUn_KI270366v1
KI270343.1	NT_187186.1
NT_113948.1	chr5_GL000208v1_random
HSCHR13_1_CTG7	chr13_KQ090024v1_alt
GL383571.1	NW_003315960.1
KI270742.1	NT_187513.1
CM000677.2	chr15
KQ458383.1	chr1_KQ458383v1_alt
KI270344.1	NT_187187.1
7	NC_000007.14
KI270574.1	NT_187289.1
KI270937.1	chr3_KI270937v1_alt
HSCHR16_4_CTG3_1	KQ090027.1
KI270321.1	NT_187175.1
KI270362.1	NT_187469.1
GL000054.2	NT_025741.16
KI270753.1	chrUn_KI270753v1
HSCHR14_8_CTG1	chr14_KZ208919v1_alt
KZ208913.1	NW_018654715.1
KI270603.1	NT_187304.1
KI270756.1	chrUn_KI270756v1
GL000046.2	NT_016354.20
GL383582.2	chr22_GL383582v2_alt
NW_019805494.1	chr8_KZ559107v1_alt
HSCHR3_9_CTG3	KI270784.1
GJ211991.2	NT_187239.1
HG1_PATCH	chr14_KZ208920v1_fix
KI270587.1	NT_187447.1
HSCHR2_1_CTG1	chr2_KI270769v1_alt
GL383567.1	HSCHR18_1_CTG1_1
NT_187631.1	chr22_KI270877v1_alt
KQ090019.1	NW_013171805.1
NT_187634.1	chrX_KI270880v1_alt
HSCHR11_1_CTG3	NT_187582.1
CM000676.2	NC_000014.9
HSCHR2_3_CTG7_2	KI270768.1
NW_025791767.1	chr2_MU273344v1_fix
GL383552.1	NW_003315941.1
HSCHR12_2_CTG1	NW_013171809.1
HSCHR8_4_CTG7	KI270817.1
HG2527_PATCH	chrX_MU273393v1_fix
HSCHR2_1_CTG1	NT_187522.1
CM000669.2	chr7
HG2216_PATCH	NW_009646205.1
HSCHR19KIR_0019-4656-B_CTG3_1	NW_016107310.1
ML143351.1	chr6_ML143351v1_fix
HG1466_PATCH	ML143385.1
MU273398.1	chrY_MU273398v1_fix
HSCHR9_1_CTG6	KQ090018.1
KN538373.1	NW_011332700.1
CM000683.2	chr21
GJ212067.1	KI270547.1
HSCHR2_1_CTG7_2	chr2_GL383522v1_alt
HSCHR3_9_CTG2_1	NW_019805490.1
GJ212072.2	KI270552.1
NT_187482.1	chrUn_KI270383v1
HSCHR4_5_CTG12	KI270789.1
HG2087_PATCH	ML143374.1
GL000128.2	NT_024972.9
HSCHR11_2_CTG1_1	chr11_KI270903v1_alt
HSCHR6_1_CTG3	NW_004166862.2
KI270723.1	NT_187378.1
KI270816.1	NT_187571.1
KI270303.1	chrUn_KI270303v1
GJ212131.2	NT_187327.1
KI270770.1	chr2_KI270770v1_alt
HSCHR22_7_CTG1	NW_014040931.1
HSCHR2_3_CTG7_2	chr2_KI270768v1_alt
KI270752.1	NT_187507.1
HSCHR8_2_CTG1	KI270812.1
KN538367.1	NW_011332694.1
GL383522.1	chr2_GL383522v1_alt
JH636055.2	chr3_JH636055v2_alt
KI270312.1	NT_187405.1
NT_187535.1	chr3_KI270783v1_alt
GL383546.1	NW_003315935.1
NC_000012.12	chr12
GJ212023.2	KI270501.1
HSCHR8_4_CTG1	KI270818.1
GJ212005.2	NT_187248.1
KI270335.1	NT_187462.1
GL383577.2	chr20_GL383577v2_alt
KV880765.1	chr7_KV880765v1_fix
NT_187523.1	chr2_KI270767v1_alt
NW_021159998.1	chr7_ML143352v1_fix
HSCHR2_8_CTG7_2	KZ208908.1
KI270517.1	chrUn_KI270517v1
KI270328.1	NT_187181.1
KI270385.1	chrUn_KI270385v1
KI270447.1	NT_187234.1
GL000213.1	chrUn_GL000213v1
HSCHR19KIR_RSH_A_HAP_CTG3_1	KI270891.1
KI270892.1	chr1_KI270892v1_alt
KZ559111.1	chr11_KZ559111v1_alt
MU273381.1	NW_025791804.1
NT_187450.1	chrUn_KI270579v1
HG2121_PATCH	KV766194.1
HSCHR3_5_CTG3	KI270934.1
KI270719.1	NT_187374.1
GJ211998.2	NT_187243.1
KI270741.1	NT_187497.1
HG126_PATCH	KN538364.1
HG2580_PATCH	NW_025791806.1
GL383570.1	chr18_GL383570v1_alt
HSCHR22_4_CTG1	NW_009646207.1
HG2128_PATCH	KN196478.1
GL000018.2	NT_167186.2
GJ211860.1	NT_187178.1
HG2068_PATCH	KV880767.1
GL000251.2	chr6_GL000251v2_alt
20	NC_000020.11
GJ212169.2	NT_187348.1
KI270385.1	NT_187487.1
NT_187419.1	chrUn_KI270429v1
KI270881.1	chrX_KI270881v1_alt
KI270340.1	chrUn_KI270340v1
HSCHR16_3_CTG3_1	KQ031390.1
KI270921.1	NT_187675.1
ML143383.1	NW_021160029.1
KI270375.1	NT_187493.1
HSCHR15_2_CTG3	NT_187659.1
GJ211929.1	NT_187204.1
NW_003315929.1	chr9_GL383540v1_alt
NT_187510.1	chrUn_KI270755v1
HG2511_PATCH	chr15_ML143372v1_fix
NW_025791813.1	chr21_MU273390v1_fix
HG109_PATCH	ML143376.1
GL000049.2	NT_034772.7
HG2513_PATCH	NW_021160023.1
HSCHR2_6_CTG1	MU273340.1
NW_003315908.1	chr2_GL383521v1_alt
GJ212172.2	NT_187350.1
KN196477.1	chr5_KN196477v1_alt
HG107_HG2565_PATCH	chr11_KQ759759v2_fix
KI270764.1	NT_187521.1
KI270822.1	chr8_KI270822v1_alt
KI270318.1	NT_187284.1
HSCHR19_6_CTG2	chr19_MU273387v1_alt
GL383557.1	HSCHR16_2_CTG3_1
KI270938.1	NT_187693.1
NT_167246.2	chr6_GL000253v2_alt
GJ211908.1	KI270369.1
HSCHR3_3_CTG3	KI270895.1
MU273338.1	chr2_MU273338v1_alt
GL383571.1	HSCHR18_2_CTG2
NT_187443.1	chrUn_KI270538v1
HSCHR17_12_CTG4	KZ559114.1
GL000205.2	chr17_GL000205v2_random
NT_187382.1	chr15_KI270727v1_random
HSCHR17_4_CTG4	chr17_JH159146v1_alt
NW_003315907.2	chr1_GL383520v2_alt
13	NC_000013.11
HSCHR4_1_CTG8_1	NT_187541.1
HSCHR16_CTG2	NT_187610.1
KI270331.1	NT_187182.1
GJ212191.2	KI270699.1
GL383528.1	chr4_GL383528v1_alt
HSCHR22_7_CTG1	chr22_KQ458388v1_alt
HSCHR4_7_CTG12	NT_187679.1
HSCHR10_1_CTG1	NW_003315934.1
GL000064.2	NT_167187.2
GL000009.2	NT_113796.3
KI270514.1	NT_187257.1
KZ208914.1	chr8_KZ208914v1_fix
HSCHR22_1_CTG6	KI270878.1
HSCHR8_1_CTG1	KI270811.1
KI270726.1	NT_187381.1
HG2232_PATCH	NW_011332690.1
KV575260.1	NW_016107314.1
MU273345.1	NW_025791768.1
HSCHR5_2_CTG5	KI270795.1
KI270918.1	chr19_KI270918v1_alt
HSCHR11_2_CTG8	NW_019805497.1
HSCHR19_5_CTG2	KI270868.1
NW_021160003.1	chr11_ML143357v1_fix
KI270581.1	NT_187449.1
HSCHR4_1_CTG4	NT_187540.1
11	CM000673.2
KZ208921.1	NW_018654723.1
NW_019805488.1	chr3_KZ559101v1_alt
HSCHR1_5_CTG31	NW_025791754.1
NT_187432.1	chrUn_KI270512v1
KI270912.1	chr18_KI270912v1_alt
KI270540.1	NT_187271.1
KI270445.1	NT_187232.1
HG494_PATCH	chr22_ML143379v1_fix
HSCHR21_8_CTG1_1	NT_187628.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	KI270931.1
GL000008.2	NT_113793.3
GL383551.1	chr12_GL383551v1_alt
NT_187453.1	chrUn_KI270584v1
ML143363.1	chr13_ML143363v1_fix
GJ212028.2	NT_187255.1
NT_187377.1	chr14_KI270722v1_random
NT_187588.1	chr12_KI270837v1_alt
GL949748.2	HSCHR19LRC_LRC_I_CTG3_1
HG1309_PATCH	ML143352.1
NT_187577.1	chr8_KI270822v1_alt
HSCHR13_1_CTG5	NT_187596.1
NW_018654708.1	chr1_KZ208906v1_fix
KI270614.1	NT_187315.1
HSCHR4_9_CTG12	KQ090015.1
NC_000006.12	chr6
KI270878.1	chr22_KI270878v1_alt
GL383553.2	NW_003315942.2
GL000110.2	NT_024477.15
GL582966.2	chr2_GL582966v2_alt
GL000219.1	NT_167213.1
KI270789.1	chr4_KI270789v1_alt
HG2419_PATCH	KZ208914.1
NW_003315905.1	chr1_GL383518v1_alt
NW_014040929.1	chr19_KQ458386v1_fix
GL949747.2	NW_003571055.2
GL000151.2	NT_011512.12
KQ090028.1	NW_013171814.1
KN538360.1	NW_011332687.1
KI270409.1	NT_187216.1
HSCHR8_9_CTG1	NT_187577.1
KI270798.1	chr6_KI270798v1_alt
KI270374.1	chrUn_KI270374v1
KI270780.1	NT_187537.1
KZ208920.1	NW_018654722.1
HG705_PATCH	ML143349.1
HSCHR1_3_CTG3	chr1_KQ458382v1_alt
NW_013171810.1	chr13_KQ090024v1_alt
KI270526.1	NT_187262.1
NW_025791770.1	chr3_MU273347v1_fix
HSCHR7_1_CTG6	chr7_GL383534v2_alt
GL000126.2	NT_010498.16
KI270599.1	NT_187300.1
HG1384_PATCH	chr2_ML143342v1_fix
GL877876.1	chr12_GL877876v1_alt
HG2334_PATCH	chr10_KQ090021v1_fix
HSCHR3_1_CTG1	JH636055.2
HG2515_PATCH	chr1_MU273335v1_fix
NW_018654706.1	chr1_KZ208904v1_alt
KI270932.1	NT_187686.1
GL000105.2	NT_009759.17
HSCHR3_6_CTG3	NT_187689.1
MU273342.1	chr2_MU273342v1_fix
GL000190.2	NT_167206.2
HSCHR18_ALT2_CTG2_1	chr18_KI270911v1_alt
ML143346.1	NW_021159992.1
HSCHR4_2_CTG8_1	chr4_MU273349v1_alt
KQ983258.1	NW_015495301.1
NT_187585.1	chr11_KI270831v1_alt
HSCHR4_4_CTG12	chr4_KI270788v1_alt
MU273385.1	chr19_MU273385v1_fix
KQ759761.1	NW_015148968.1
HG2569_PATCH	NW_025791808.1
HSCHR19_4_CTG2	NT_187621.1
GL000240.1	NT_167234.1
NW_021160012.1	chr13_ML143366v1_fix
HG1342_HG2282_PATCH	KQ031383.1
GJ211961.2	KI270439.1
KI270373.1	NT_187492.1
HSCHR12_3_CTG2_1	chr12_GL383553v2_alt
GJ212046.1	NT_187262.1
KI270615.1	NT_187316.1
HSCHR9_1_CTG6	chr9_KQ090018v1_alt
KI270383.1	NT_187482.1
KI270874.1	NT_187628.1
KI270841.1	NT_187595.1
MU273369.1	NW_025791792.1
KZ208916.1	NW_018654718.1
HSCHR6_1_CTG9	KI270802.1
GL000163.2	NT_167197.2
GL000194.1	NT_113888.1
GL000214.1	NT_167209.1
HSCHR14_2_CTG1	NT_187599.1
HG2128_PATCH	NW_009646200.1
KN538360.1	chr1_KN538360v1_fix
HG2291_PATCH	KN538372.1
GJ212009.2	KI270487.1
ML143372.1	chr15_ML143372v1_fix
HSCHR12_9_CTG2_1	NW_019805499.1
16	CM000678.2
NW_011332689.1	chr2_KN538362v1_fix
KV766199.1	NW_017363820.1
NW_017363817.1	chr17_KV766196v1_fix
HSCHR11_1_CTG5	chr11_KI270829v1_alt
GL000216.2	NT_167211.2
HSCHR18_ALT2_CTG2_1	NT_187666.1
GJ211932.1	NT_187216.1
NW_003315934.1	chr10_GL383545v1_alt
HSCHR17_1_CTG2	NT_187611.1
KZ559103.1	chr3_KZ559103v1_alt
KI270308.1	NT_187194.1
KV575255.1	chr19_KV575255v1_alt
HSCHR11_1_CTG1_1	NW_003315936.1
NW_016107310.1	chr19_KV575256v1_alt
KI270333.1	chrUn_KI270333v1
HSCHR8_7_CTG7	NW_019805494.1
KI270423.1	chrUn_KI270423v1
NW_017363820.1	chrX_KV766199v1_alt
KI270551.1	NT_187280.1
NW_003315959.1	chr18_GL383570v1_alt
HSCHR11_2_CTG3_1	chr11_MU273368v1_alt
ML143374.1	chr17_ML143374v1_fix
NT_187633.1	chr22_KI270879v1_alt
KI270887.1	chr19_KI270887v1_alt
NT_187670.1	chr19_KI270916v1_alt
KI270305.1	chrUn_KI270305v1
HSCHR6_1_CTG2	NW_003315921.1
ML143346.1	chr4_ML143346v1_fix
HSCHR22_6_CTG1	chr22_KQ458387v1_alt
HSCHR7_4_CTG1	NW_025791781.1
HSCHR19KIR_502960008-1_CTG3_1	NW_016107307.1
KI270934.1	NT_187688.1
KI270784.1	NT_187539.1
KI270835.1	chr12_KI270835v1_alt
KI270575.1	NT_187290.1
HSCHR4_8_CTG12	NW_013171800.1
KQ090013.1	NW_013171799.1
NW_021160027.1	chrX_ML143381v1_fix
GL000104.2	NT_033899.9
KN538368.1	chr11_KN538368v1_alt
KI270299.1	NT_187170.1
19	CM000681.2
KI270317.1	chrUn_KI270317v1
HG2285_HG106_HG2252_PATCH	chr17_KV766196v1_fix
HSCHR17_1_CTG1	NW_003315952.3
NT_187436.1	chrUn_KI270515v1
HSCHR3_5_CTG1	chr3_ML143343v1_alt
GJ212208.1	KI866541.1
HSCHR15_9_CTG8	chr15_MU273375v1_alt
GJ211867.1	NT_187181.1
NT_187646.1	chr1_KI270892v1_alt
HSCHR10_1_CTG6	NW_013171806.1
NW_017852931.1	chr8_KV880766v1_fix
NT_113891.3	chr6_GL000251v2_alt
HG2063_PATCH	chr12_KQ759760v1_fix
GJ212193.1	KI270705.1
KI270320.1	chrUn_KI270320v1
HG2023_PATCH	KQ983257.1
GJ212206.1	KI866535.1
NW_021160006.1	chr11_ML143360v1_fix
HG2116_PATCH	KQ090022.1
NW_012132919.1	chr7_KQ031388v1_fix
HSCHR19KIR_FH05_A_HAP_CTG3_1	KI270920.1
KQ090013.1	chr4_KQ090013v1_alt
NC_000016.10	chr16
HSCHR19KIR_FH06_A_HAP_CTG3_1	NT_187676.1
HSCHR8_8_CTG1	KI270821.1
NT_187598.1	chr14_KI270844v1_alt
HSCHR21_3_CTG1_1	NW_003315969.2
HSCHR7_3_CTG1	chr7_KZ559106v1_alt
KI270861.1	NT_187611.1
HSCHR1_ALT2_1_CTG32_1	chr1_KI270892v1_alt
HG2140_PATCH	chr2_MU273345v1_fix
HSCHR7_1_CTG1	chr7_KI270804v1_alt
KI270401.1	NT_187208.1
HG1532_PATCH	chrY_MU273398v1_fix
HG2526_HG2573_PATCH	NW_025791796.1
NT_187686.1	chr19_KI270932v1_alt
GJ212186.2	KI270694.1
KV575248.1	chr19_KV575248v1_alt
KI270375.1	chrUn_KI270375v1
NT_187369.1	chr1_KI270714v1_random
KI270850.1	NT_187606.1
GJ211908.1	NT_187200.1
KI270846.1	NT_187600.1
KN196478.1	chr6_KN196478v1_fix
HSCHR1_1_CTG32_1	NT_187516.1
HG2265_PATCH	chr21_MU273391v1_fix
ML143367.1	chr14_ML143367v1_fix
HG2521_PATCH	NW_025791815.1
HSCHR8_3_CTG7	NT_187571.1
HG1445_PATCH	NW_021160003.1
KQ090027.1	NW_013171813.1
HSCHR18_ALT2_CTG2_1	KI270911.1
KI270547.1	NT_187277.1
HG2280_PATCH	MU273374.1
HG2088_PATCH	NW_017852929.1
GL383564.2	HSCHR17_1_CTG4
ML143342.1	NW_021159988.1
HSCHR12_1_CTG1	chr12_GL877875v1_alt
NW_021159993.1	chr4_ML143347v1_fix
NT_187439.1	chrUn_KI270529v1
KI270916.1	NT_187670.1
NW_016107308.1	chr19_KV575254v1_alt
HSCHR13_1_CTG3	NT_187594.1
HSCHR9_1_CTG4	chr9_GL383542v1_alt
HSCHR16_5_CTG3_1	KZ208921.1
GL000176.2	NT_167201.2
NW_016107314.1	chr19_KV575260v1_alt
HG2511_PATCH	NW_021160018.1
HSCHR19_4_CTG2	chr19_KI270865v1_alt
KI270329.1	NT_187459.1
HSCHR9_1_CTG5	KI270823.1
GJ212201.1	KI866538.1
KV575256.1	chr19_KV575256v1_alt
KN196475.1	NW_009646197.1
KN196487.1	chrY_KN196487v1_fix
KI270524.1	NT_187260.1
MU273361.1	chr8_MU273361v1_fix
GL383554.1	chr15_GL383554v1_alt
HG2237_PATCH	NW_012132917.1
HSCHR11_1_CTG8	NT_187586.1
GL383526.1	NW_003315913.1
KV575244.1	chr5_KV575244v1_fix
HG2023_PATCH	NW_015495300.1
HSCHR15_6_CTG8	KQ031389.1
MU273380.1	NW_025791803.1
HSCHR5_3_CTG1	NT_187547.1
KI270429.1	chrUn_KI270429v1
NT_187553.1	chr6_KI270798v1_alt
GL000067.2	NT_008046.17
HSCHR19KIR_FH05_A_HAP_CTG3_1	chr19_KI270920v1_alt
ML143350.1	chr5_ML143350v1_fix
NT_187400.1	chrUn_KI270322v1
GJ211992.2	KI270470.1
KI270784.1	chr3_KI270784v1_alt
NT_187444.1	chrUn_KI270544v1
HG2525_PATCH	ML143345.1
GL383577.2	NW_003315966.2
HSCHR3_5_CTG1	NW_021159989.1
KI270394.1	NT_187479.1
GJ212207.1	KI866540.1
HSCHR11_2_CTG8	KZ559110.1
GL383531.1	NW_003315919.1
NW_003315931.1	chr9_GL383542v1_alt
NW_014040927.1	chr1_KQ458384v1_alt
NW_003315969.2	chr21_GL383580v2_alt
14	chr14
HG2510_PATCH	NW_021160013.1
HSCHR2_1_CTG7	KI270772.1
NT_187397.1	chrUn_KI270304v1
KI270736.1	NT_187391.1
KI270438.1	NT_187425.1
7	CM000669.2
GL383549.1	NW_003315938.1
GJ211938.1	KI270416.1
KZ208906.1	NW_018654708.1
HG2525_PATCH	chr4_ML143345v1_fix
HSCHR2_12_CTG7_2	chr2_MU273339v1_alt
NW_012132920.1	chr15_KQ031389v1_alt
KI270484.1	NT_187249.1
HG986_PATCH	NW_009646194.1
ML143385.1	NW_021160031.1
HSCHR19KIR_CA01-TB04_CTG3_1	chr19_KV575249v1_alt
KI270395.1	chrUn_KI270395v1
GL383578.2	NW_003315967.2
19	chr19
HG2265_PATCH	NW_025791814.1
HSCHR7_3_CTG4_4	NW_018654715.1
KI270793.1	NT_187550.1
KQ031384.1	NW_012132915.1
HSCHR18_1_CTG1	NW_019805503.1
HG2568_PATCH	chr11_MU273370v1_fix
HG2239_PATCH	chr7_KQ031388v1_fix
KZ208923.1	chrY_KZ208923v1_fix
KI270761.1	NT_187518.1
KN196486.1	NW_009646208.1
ML143373.1	NW_021160019.1
HG2407_PATCH	MU273380.1
KI270392.1	chrUn_KI270392v1
KQ458383.1	NW_014040926.1
NW_021159991.1	chr4_ML143345v1_fix
KI270814.1	NT_187566.1
GL000069.2	NT_008413.19
HSCHR3_8_CTG2_1	KZ559102.1
HSCHR10_1_CTG6	chr10_KQ090020v1_alt
J01415.2	NC_012920.1
KV575259.1	chr19_KV575259v1_alt
KQ031388.1	NW_012132919.1
GL000225.1	chr14_GL000225v1_random
KI270811.1	NT_187565.1
KI270904.1	chr12_KI270904v1_alt
HSCHR6_1_CTG8	chr6_KI270801v1_alt
MU273346.1	chr3_MU273346v1_fix
HSCHR5_7_CTG1	KN196477.1
NW_009646206.1	chr19_KN196484v1_fix
MU273370.1	NW_025791793.1
HSCHR17_13_CTG4	MU273378.1
GL000254.2	chr6_GL000254v2_alt
KI270908.1	chr17_KI270908v1_alt
NW_003871073.1	chr11_JH159136v1_alt
HSCHR8_6_CTG1	NT_187655.1
HSCHR22_3_CTG1	NT_187682.1
KI270329.1	chrUn_KI270329v1
ML143381.1	chrX_ML143381v1_fix
HG2002_PATCH	KZ208906.1
KI270386.1	chrUn_KI270386v1
GJ211965.2	NT_187231.1
KI270584.1	NT_187453.1
HSCHR11_1_CTG1_1	chr11_GL383547v1_alt
HG926_PATCH	KV880768.1
GJ211909.1	NT_187202.1
HSCHR16_1_CTG1	chr16_KI270853v1_alt
KI270436.1	NT_187341.1
NT_187491.1	chrUn_KI270372v1
NW_003315920.1	chr5_GL383532v1_alt
KI270314.1	NT_187192.1
HSCHR9_1_CTG6	NW_013171804.1
NT_187409.1	chrUn_KI270411v1
KV575258.1	chr19_KV575258v1_alt
HG2576_PATCH	chr10_MU273367v1_fix
KI270840.1	chr13_KI270840v1_alt
GJ211871.1	NT_187183.1
HSCHR22_4_CTG1	chr22_KN196485v1_alt
KI270768.1	chr2_KI270768v1_alt
NW_021160009.1	chr13_ML143363v1_fix
GJ211954.1	KI270432.1
KI270732.1	NT_187387.1
HG2251_PATCH	chr17_MU273381v1_fix
NT_187687.1	chr19_KI270933v1_alt
KI270336.1	chrUn_KI270336v1
GL000169.2	NT_011651.18
KV766192.1	NW_017363813.1
HSCHR19KIR_7191059-2_CTG3_1	chr19_KV575259v1_alt
HSCHRX_2_CTG12	KI270881.1
KI270856.1	chr16_KI270856v1_alt
GJ212002.2	KI270480.1
KN538367.1	chr10_KN538367v1_fix
HSCHR4_4_CTG12	KI270788.1
ML143348.1	NW_021159994.1
HG2198_PATCH	chr15_ML143370v1_fix
GL383554.1	HSCHR15_1_CTG8
KI270888.1	NT_187642.1
KQ090021.1	chr10_KQ090021v1_fix
MU273333.1	NW_025791756.1
HSCHR17_2_CTG4	chr17_GL383565v1_alt
GJ212202.1	NT_187173.1
KI270934.1	chr3_KI270934v1_alt
HG2407_PATCH	chr17_MU273380v1_fix
HSCHR19LRC_LRC_I_CTG3_1	NW_003571056.2
HSCHR7_2_CTG1	KI270899.1
GJ212155.2	NT_187340.1
HSCHR5_3_CTG5	NT_187652.1
NW_003315940.1	chr12_GL383551v1_alt
KI270852.1	chr15_KI270852v1_alt
KI270888.1	chr19_KI270888v1_alt
HSCHR12_4_CTG2	KI270835.1
KI270429.1	NT_187419.1
HSCHR3_5_CTG2_1	KI270781.1
HSCHR3_7_CTG3	KI270936.1
KI270319.1	NT_187174.1
HG2267_PATCH	chr8_MU273362v1_fix
KI270790.1	chr4_KI270790v1_alt
NW_025791784.1	chr8_MU273361v1_fix
CM000666.2	chr4
HG2072_PATCH	chr6_KQ090016v1_fix
GL000026.2	NT_034508.3
NW_009646209.1	chrY_KN196487v1_fix
NW_018654707.1	chr1_KZ208905v1_alt
HG2111_PATCH	NW_021160006.1
NW_021160019.1	chr16_ML143373v1_fix
KI270529.1	NT_187439.1
KI270851.1	chr15_KI270851v1_alt
NW_003315936.1	chr11_GL383547v1_alt
GL383572.1	HSCHR18_2_CTG2_1
GJ212165.2	KI270673.1
KI270300.1	NT_187171.1
KI270774.1	chr2_KI270774v1_alt
KI270826.1	NT_187581.1
HSCHR19KIR_CA01-TA01_1_CTG3_1	KV575247.1
HSCHR1_1_CTG3	KI270762.1
HG287_PATCH	NW_025791774.1
KI270856.1	NT_187609.1
CM000686.2	NC_000024.10
NT_187569.1	chr8_KI270815v1_alt
NT_187562.1	chr7_KI270803v1_alt
13	CM000675.2
HSCHR1_4_CTG31	NT_187520.1
GL949751.2	NW_003571059.2
HSCHR19LRC_COX1_CTG3_1	NW_003571054.1
HSCHR1_3_CTG3	NW_014040925.1
MU273384.1	chr19_MU273384v1_fix
NW_003315962.1	chr19_GL383573v1_alt
NC_000008.11	chr8
KQ090024.1	chr13_KQ090024v1_alt
MU273345.1	chr2_MU273345v1_fix
GJ212045.1	NT_187259.1
GL383581.2	NW_003315970.2
KI270737.1	NT_187392.1
KI270434.1	NT_187241.1
HSCHR19_1_CTG3_1	NW_003315963.1
KN538372.1	NW_011332699.1
HSCHR19KIR_G248_A_HAP_CTG3_1	KI270885.1
NT_187393.1	chr22_KI270738v1_random
KI270823.1	NT_187578.1
HG26_PATCH	NW_014040929.1
KI270487.1	NT_187251.1
KI270510.1	NT_187427.1
KI270805.1	chr7_KI270805v1_alt
KI270532.1	NT_187265.1
KI270919.1	NT_187673.1
KI270874.1	chr21_KI270874v1_alt
KI270787.1	NT_187541.1
NT_187503.1	chrUn_KI270748v1
NW_003571050.1	chr12_GL877876v1_alt
HSCHR13_1_CTG2	chr13_KI270839v1_alt
NT_187556.1	chr6_KI270801v1_alt
HSCHR4_8_CTG12	KQ090014.1
GL000086.2	NT_078070.4
CM000684.2	chr22
NC_000001.11	chr1
HSCHR2_11_CTG7_2	NW_025791761.1
HSCHR13_1_CTG4	NT_187595.1
GJ212209.1	NT_187352.1
KQ090016.1	chr6_KQ090016v1_fix
GL383583.2	HSCHR22_1_CTG2
KI270483.1	NT_187248.1
17	CM000679.2
GJ211866.1	NT_187180.1
HSCHR19_1_CTG3_1	chr19_GL383574v1_alt
GL383575.2	chr19_GL383575v2_alt
KI270849.1	chr15_KI270849v1_alt
HSCHR10_1_CTG3	NT_187579.1
KI270811.1	chr8_KI270811v1_alt
KZ208910.1	NW_018654712.1
HSCHR5_5_CTG1	NT_187550.1
KQ090020.1	NW_013171806.1
KI270441.1	NT_187230.1
HSCHR18_ALT21_CTG2_1	chr18_KI270912v1_alt
HG2249_PATCH	chr13_KN538373v1_fix
HSCHR17_2_CTG5	NT_187663.1
